,天气图片的名称,天气文字,气温,风向,风力,小时
0,b0.png,晴,26,东南风,0级,11时
1,b0.png,晴,26,东北风,3级,12时
2,b0.png,晴,26,东北风,3级,13时
3,b0.png,晴,25,东北风,3级,14时
4,b0.png,晴,24,东北风,3级,15时
5,b0.png,晴,23,东北风,3级,16时
6,b0.png,晴,22,东北风,3级,17时
7,b0.png,晴,21,东北风,3级,18时
8,b0.png,晴,21,东北风,2级,19时
9,b0.png,晴,20,东北风,2级,20时
10,b0.png,晴,20,东北风,2级,21时
11,b0.png,晴,20,东北风,2级,22时
12,b1.png,多云,20,东北风,2级,23时
13,b1.png,多云,20,东北风,2级,00时
14,b1.png,多云,19,东北风,2级,01时
15,b1.png,多云,19,东北风,2级,02时
16,b0.png,晴,19,东北风,2级,03时
17,b0.png,晴,19,东北风,2级,04时
18,b0.png,晴,19,东北风,2级,05时
19,b0.png,晴,19,东北风,2级,06时
20,b2.png,阴,20,东北风,2级,07时
21,b2.png,阴,22,东风,3级,08时
22,b2.png,阴,23,东风,3级,09时
23,b2.png,阴,24,东风,3级,10时
